BLACK_CARDS, NUM_BLANKS
"There was a huge crowd on Ho Plaza protesting __",1
"You can really see the beauty of __ from the top of McGraw Tower.",1
"My TA gave me some questionable advice about __",1
"What is Martha Pollack's guilty pleasure?",1
"I wish Cornell had a club for __",1
"Overheard on the Ag Quad: __",1
"""What do you wanna do tonight?"" ""Hmm, how about __?""",1
"""Did you finish the problem set?"" ""Nah, I was too busy with __""",1
"Only the bravest, most intrepid freshman attempt __",1
"If they ever get rid of __, I'm dropping out",1
"If I could go back in time and give my freshman self some advice, I'd say to avoid __",1
"Did you see Ryan Lombardi's email regarding __?", 1
"Students will resort to __ to get an alcove in Duffield",1
"What’s that smell? The engineers must have stopped __ again",1
"CrimeALERT: The Cornell University Police Department is investigating __",1
"Between approximately 2:30a.m. and 3:30a.m., the Ithaca Police Department responded to complaints about __",1
"Why is Apple Theta Pi being shut down?",1
"What gives Cornell students a crumb of serotonin?",1
"__ is the newest form of hazing",1
"Ryan Lombardi dethroned Martha after an incident with __",1
"Alumni report being unhappy with __ after graduation",1
"The day Cornell offers free printing is the day I quit __",1
"Why is the RPCC line so long?",1
"What should be the newest PE class?",1
"I've always wanted to throw __ into the gorge",1
"I used to scream in the gorge when I was stressed but now __ is my go-to",1
"Appel is serving __ with a side of __ tonight, and it's honestly not bad",2
"I went to Cornell Health for __ and they told me to try __",2 
"Free __ on the Arts Quad? What’s next, free __?",2
"Level B's popular new drink is based on __ with a hint of __",2
"I told my professor I needed an extension because of __, but really it's because of __",2
"I went to Cornell Health for __ and they gave me __",2
"__ is the Harvard of __ ",2
"My internship was a complete joke, they had me work on __",2
"I wrote a paper on __ for my FWS on __ ",2
"I fulfilled my PE requirement with __ and __",2
"Human Ecology is offering a new interdisciplinary major focusing on the unlikely connection between __ and __ ",2
"ILR is changing its name to the school of __ and __ relations",2
"Cornell spent my tuition on __ when they should have spent it on __ ",2
"The two most important things I learned at Cornell are __ and __",2
"During Big-Little reveal my big gave me __", 1
"My professor is pretty out there, he told a story about __ in last week's lecture",1
"__ was found on top of Bingalee Dingalee",1
"__ was hauled out of the gorge last week",1
"During finals students love __ in Olin",1
"What is r/cornell complaining about this week?",1
"We persuaded our pledges to try __, but these hands don't haze",1
"My class has a reading about __ due tomorrow",1
"Due to the recent __, we've decided to postpone the prelim",1
"I failed wines because of __",1
"Why did I fail my last prelim?",1
"Freshmen wait an hour in line at RPCC for __",1
"SAFC bans spending on __",1
"There's an event going on for __ in the Willard Straight Memorial Room",1
"Freshmen always confuse __ with __",2
"I hate my lab partner for __",1
"I signed up for intramural __",1
"Despite __, Cornell refuses to cancel __",2
"I participated in a psych study about the effects of __ on __",2
"This year on St. Patrick's Day I plan on __ with __",2
"Out of respect for __, we're cancelling Halloweekend",1
"Cornell is ignoring the __ pandemic on campus",1
"Are you going to __ Fest in the Commons?",1
"__ made the rest of the prelim REALLY awkward",1
"Cornell's 3 step plan to cure mental health: 1. __, 2. __, and most importantly 3. __", 3
"Schwartz is hosting a production of __: the Saga of __",2
"I got JA'd for __",1
"__ is Martha Pollack's best friend",1
"CUNooz got in trouble for an article about __",1
"This week's Sex on Thursdays columns discusses __ while __",2
"When they saw __, Ezra Cornell and A.D. White stood up and shook hands",1
"The Daily Sun had hot take on __",1
"__ is Martha's newest reason for shutting down Greek life",1
"What are you summer plans?",1
"What can I do with MATLAB?",1
"What do your parents do?",1
"Blue light phones are perfect for __",1
